134,7786016ff240520ecbf0215366a6fb0b586de10055cef0db5456b7e22494cc71i0,bc1p4h4vjj5nss87nhez34z2d6zppj55jcam9lqxquptj2qsgcc0xagslddf5z
141,9273cfa2d6f4e9fe721a507a4241aba8bad6d613415e724aa205eee4da166f2ei0,bc1pskrjvvhwqhslav2vru9dhh5rfx7n9kg0la0qyh7jwm7an0dyqv9qv5w669
174,15492ef54bd762ba90f403b716ae9589b80e32d371504e356eb7c301fa778fa2i0,bc1p3vr4gy6rlusufd5gsx4h02g7u6qh7s4hv59a0xqrruegw8x54tdskw4znh
177,995dc535f0963e652ebe483a77ce888197dfadcd436497f2dc60506a4de94bcei0,bc1pe23nr8lex80s5e39z4ymuc09gthlmv7zndtgluf4rvwa3rqudccs33yhvc
204,de55a8c6a66378c31b246dc81fdb75a46f407a6919a261f8a29ee16c4d314e81i0,bc1pmcpqpv6rugxxeydzddatzhsjewwp4aukd7f2ywsfxzmfzv2qmkhq7gdvda
211,4b56e187153658171cb9e60a0ec9d8556695b7db37fab9f7bb5467fe94a03e63i0,bc1pu40gagpe9qnvps75vnndddf63mdg63stfpdy4t58yutueejuwc8q5rljcf
310,5360ea264c67b59c48ba1e2dd43c57249552cd201703627ff6ae6673d61e5ed7i0,bc1pmcpqpv6rugxxeydzddatzhsjewwp4aukd7f2ywsfxzmfzv2qmkhq7gdvda
346,4d7ea018a9b953e7c230fb06b2e93ef66df2a35b7314dd0b53cd7d9ba01c216bi0,bc1pumu943643str6hxcksuhs4lud8y2schscd5wvta7vl7z8uv3lhssxwguj0
393,b3fa93020352f07482edadfa9ee61741185cfb2380f8e5acb216e545d71de105i0,bc1prqdfwc5c0lpxkp5uqdzmqn2ahqlzyctcftsp9shntxy8cm9hvewqxzpl85
394,71e6d6d26dd28be5622c5c117e00a989a513797bccd13aeefec79779b523c5a9i0,bc1prqdfwc5c0lpxkp5uqdzmqn2ahqlzyctcftsp9shntxy8cm9hvewqxzpl85
406,ec10ac4826decf8142f80fdb890be33c6ecd211b655dcf9df7b8cfc8e5e1951ai0,bc1pdt5md6lgzfucwr94ech2hkns84h6c2pnqh999cyuc902y8965jfsmavycs
420,5bcc9f6a97d7102481b340e7492acacd27af09951402996e06a3982159e14974i0,bc1p4h4vjj5nss87nhez34z2d6zppj55jcam9lqxquptj2qsgcc0xagslddf5z
431,1961b9cf991924a2163c716da42a4e7fab3c3e7666e6b5c88f7db99b41afb3c4i0,bc1putdcggvn669lrfalrfkazky5us5tu0zw70w4e5w0sqhsw5j9rq2qvdv4ct
435,cbbe9ba6d3de3b2bbd0ae0ea7bde9285ef07d2e98c53ff677433c1ec31f8b667i0,bc1p7zey7qw5ycgfanvd5z6p9nll33u6wfllmllhd9szq9vw6g7v37ssh3a7sc
438,043d442caf15281bbd77e725ecf4abb55ae276844086f04323a5a770a7209939i0,bc1prqdfwc5c0lpxkp5uqdzmqn2ahqlzyctcftsp9shntxy8cm9hvewqxzpl85
439,9c393d33a2f85ee72f97377aadf8a7bed1de6fee2c77f131bfb9351c8061baf0i0,bc1prqdfwc5c0lpxkp5uqdzmqn2ahqlzyctcftsp9shntxy8cm9hvewqxzpl85
449,85927c9bb7a15d0f61e7a1a1dc1e4114e0dd9714ee3de029f21746251377d1c9i0,bc1p46jdaaz7hdykp0w7n0fpawuhrdeyawm6gf44rysknsx6vtyy5f3qjcl2e2
450,dbd0ad80c2455a6f5b211bee0c0e25ffafc815e8d4a2b591f5513fd9e8cbb019i0,bc1p46jdaaz7hdykp0w7n0fpawuhrdeyawm6gf44rysknsx6vtyy5f3qjcl2e2
468,ea470061f82cba04661c5fdd636a40f1932b2b27775595cfc60a83a600bea786i0,bc1pv4f50vadekpmrtrk5mce256q9wvjam5mqpu7fqwsrdrqpmhns45syn3479
